time,id,value
2017/10/19 13:36,5086715,1
2017/10/19 13:36,2384449,1
2017/10/19 13:37,5956361,1
2017/10/19 13:37,943989,2
2017/10/19 13:45,785682,1
2017/10/19 13:47,2180462,2
2017/10/19 13:47,966413,1
2017/10/19 13:48,567482,1
2017/10/19 13:49,2614295,1
2017/10/19 13:49,1082216,1
2017/10/19 13:50,9238966,1
2017/10/19 13:50,8659158,1
2017/10/19 13:52,8662506,1
2017/10/19 13:53,2428472,1
2017/10/19 13:53,4026485,1
2017/10/19 14:00,6493943,1
2017/10/19 14:01,6753835,1
2017/10/19 14:02,4334065,1
2017/10/19 14:02,1639344,1
2017/10/19 14:02,8203982,1
2017/10/19 14:04,772307,1
2017/10/19 14:05,4905668,1
2017/10/19 14:06,7599455,1
2017/10/19 14:09,1107876,1
2017/10/19 14:12,5012289,1
2017/10/19 14:13,7011769,2
2017/10/19 14:14,id,1
2017/10/19 14:18,755868,1
2017/10/19 14:23,6524086,1
2017/10/19 14:24,597242,1
2017/10/19 14:26,9356519,1
2017/10/19 14:31,9955797,1
2017/10/19 14:31,5270812,2
2017/10/19 14:32,1853133,1
2017/10/19 14:33,9343905,1
2017/10/19 14:36,440717,1
2017/10/19 14:37,9583951,2
2017/10/19 14:40,538131,1
2017/10/19 14:43,2351432,2
2017/10/19 14:43,1029943,1
2017/10/19 14:43,944046,1
2017/10/19 14:46,9096474,1
2017/10/19 14:48,3520790,1
2017/10/19 14:49,223619,1
2017/10/19 14:49,7692227,1
2017/10/19 14:51,7761747,1
2017/10/19 14:54,4401532,1
2017/10/19 14:57,7552533,1
2017/10/19 15:01,2387334,1
2017/10/19 15:01,1489744,1
2017/10/19 15:03,2345258,1
2017/10/19 15:06,4225331,1
2017/10/19 15:15,8626873,1
2017/10/19 15:17,6930260,2
2017/10/19 15:18,2589343,1
2017/10/19 15:18,9854563,2
2017/10/19 15:21,8299438,1
2017/10/19 15:23,2640147,1
2017/10/19 15:26,2774094,1
2017/10/19 15:26,7168353,1
2017/10/19 15:29,5168129,1
2017/10/19 15:31,1379705,1
2017/10/19 15:39,1579038,1
2017/10/19 15:40,3305744,1
2017/10/19 15:40,6061702,1
2017/10/19 15:42,7811405,2
2017/10/19 15:42,2901172,1
2017/10/19 15:45,9013771,1
2017/10/19 15:48,8489236,1
2017/10/19 15:49,9525701,1
2017/10/19 15:49,8114762,1
2017/10/19 15:53,8231480,1
2017/10/19 15:57,5210394,1
2017/10/19 15:58,950751,2
2017/10/19 15:58,6249130,2
2017/10/19 16:00,2211517,1
2017/10/19 16:01,9525701,1
2017/10/19 16:04,3994501,2
